Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,
2020-03-02,1132.3907470703125,664.9740600585938,593.1416625976562,1856.2403564453125,1153.0783330290699,687.2730007734407,616.95921624244,1905.0740500988957,1119.4790816152388,658.4234864116986,586.3591497526916,1841.7709964655457,1152.166283036904,661.3398425695699,610.6949824909261,1887.4976431335833,7332449,9821523,29500495,2667076
2020-03-03,1134.502685546875,670.3131713867188,605.1743774414062,1888.6109619140625,1137.91053905325,681.0812544612041,610.1542250645119,1910.6859222267851,1121.2549348197444,665.1534649135277,595.7780264422395,1866.165085204025,1127.9747846003422,677.4918934363757,599.2481620236018,1873.5852247078185,11184775,7826587,27398798,2757585
2020-03-04,1102.871337890625,680.8568725585938,603.7546997070312,1932.2042236328125,1132.7746932728987,683.3245580934025,610.1090629626958,1942.6387944975252,1087.7516756710927,669.011971037652,589.4235684955828,1878.222755648301,1131.1907052224476,676.5047945231051,609.2978906961649,1906.9757953643984,17144435,11013444,22105261,3237002
2020-03-05,1105.2713623046875,677.133056640625,590.8883056640625,1971.02099609375,1118.37509392369,694.1376684936278,611.9793873468767,1992.075596852326,1097.0155695976796,674.5756583603527,588.5673613095641,1932.9927807656413,1106.8553504669653,685.3437433624467,609.3880522229911,1934.5230939753603,9774854,7755293,30510390,3937056
2020-03-06,1089.479736328125,663.0895385742188,572.7940673828125,1963.0438232421875,1095.2396079268094,667.6210955403575,580.523007387279,1969.7219021014437,1056.9364383585807,654.2507049181876,559.3192334559235,1921.4448107692417,1079.9759247533182,664.9290749938239,572.3434161144334,1945.9311754013938,11526783,9216022,33734039,2595027
2020-03-09,1062.984375,632.1314086914062,502.1074523925781,1829.3887939453125,1073.640114267076,651.3344589607515,559.2741927981915,1929.1432154403778,1022.3772324159999,625.4462122550482,493.4772395572974,1794.7460441104377,1065.5762704054084,650.1230714186261,558.8460439909699,1924.5984710745004,17210295,10308654,88187018,4940975
2020-03-11,1069.2242431640625,615.575439453125,519.8636474609375,1812.090576171875,1075.1760637860646,624.5039862999286,531.0851658640818,1843.2552492757588,1048.296662191413,600.3655105710855,499.3358787134144,1780.83328720108,1060.7763843603584,619.7480937128252,499.3358787134144,1792.8910125831708,17769120,16165009,59578576,6796449
2020-03-12,980.4260864257812,566.4012451171875,479.0559997558594,1641.5662841796875,1036.7768393183305,601.218040065634,496.18123084743115,1770.0738367774165,963.2904926573575,563.0810748375901,472.6115055310527,1630.8998364420388,1031.9769465437087,599.4233593490202,488.9706293967403,1765.99273847681,29500385,13965574,55970485,8728786
2020-03-13,1026.9852294921875,576.406494140625,498.11907958984375,1675.374755859375,1038.168887265585,598.5259534587793,513.7571008150663,1688.081699185184,882.4124064302825,511.48394823313976,424.7059073107003,1396.8876513646762,940.8270851454057,531.2254339544188,449.76281142505036,1565.5566710261562,33171182,16903113,73297403,8029720
2020-03-16,959.4985961914062,523.2840576171875,457.73956298828125,1573.4400634765625,995.4977931470618,558.2803319765617,486.58205726694524,1708.718412652051,955.1786925567276,520.457413549668,452.91744385735166,1554.3795413902465,993.5778359760934,558.1457090136095,477.9518445557798,1627.792544011046,15993161,19140152,38482258,7844271
